Title,"PostTrak
Film
Type","Release
Date",Genre,Rating,Dist,"Opening
Wknd
Gross","Opening
Day
Gross",Cume,"Locs
at
Opening","Locs
at
Widest
Release","Polling
Wk",Index,"Definitely
Recommend","Total
Polled","General
Total
;
How
would
you
rate
the
film?
1
-
Excellent"
John Wick: Chapter 4,General,3/24/2023,ACT,R,LGF,73817950,29426384,187131806,3855,3855,1,90,82%,830,73%
Shazam! Fury Of The Gods,Hybrid,3/17/2023,ACT,PG13,WB,30111158,11701380,57721819,4071,4071,1,78,61%,1201,43%
Scream VI,General,3/10/2023,HOR,R,PAR,44447270,19293468,108391107,3675,3676,1,86,73%,807,58%
65,General,3/10/2023,SCI,PG13,SNY,12328361,4446084,32062904,3405,3405,1,68,45%,764,29%
Champions,General,3/10/2023,COM,PG13,FOC,5148740,1820955,16397335,3030,3039,1,84,64%,291,54%
Creed III,General,3/3/2023,ACT,PG13,MGM,58370007,22089127,156248615,4007,4007,1,90,80%,800,67%
Demon Slayer: Kimetsu no Yaiba: To the Swordsmith Village,General,3/3/2023,ANI,R,CRUNCHY,10192750,4227737,16730592,1780,1780,1,77,59%,612,50%
Operation Fortune: Ruse de Guerre,General,3/3/2023,ACT,R,LGF,3140214,1079603,6496125,2168,2168,1,75,50%,203,36%
Jesus Revolution,General,2/24/2023,DRA,PG13,LGF,15882067,6965536,52102987,2475,2575,1,94,89%,834,81%
Cocaine Bear,General,2/24/2023,SUS,R,UNI,23260790,8688985,64670240,3534,3571,1,80,66%,801,51%
Ant-Man and the Wasp: Quantumania,Hybrid,2/17/2023,ACT,PG13,DIS,106109650,46431851,214504909,4345,4345,1,78,59%,1212,45%
Marlowe,General,2/15/2023,SUS,R,OPRD/BCLF,1814094,548215,4350243,2281,2281,1,63,32%,266,23%
80 for Brady,General,2/3/2023,COM,PG13,PAR,12701640,4625369,39448525,3912,3939,1,85,71%,825,56%
Knock at the Cabin,General,2/3/2023,SUS,R,UNI,14127170,5409055,35397980,3643,3657,1,65,35%,805,21%
"Amazing Maurice, The",Hybrid,2/3/2023,ANI,PG,VIVA,1464691,343962,3255367,1546,1546,1,74,33%,173,33%
Infinity Pool,General,1/27/2023,SUS,R,NEON,2514364,1123017,5078401,1835,1835,1,63,23%,472,23%
Fear,General,1/27/2023,HOR,R,VAR,1227794,466992,2138235,974,974,1,57,28%,258,19%
Missing (2023),General,1/20/2023,SUS,PG13,SNY,9154695,3433703,32502025,3025,3025,1,82,63%,803,49%
That Time I Got Reincarnated as a Slime The Movie: Scarlet Bond,Hybrid,1/20/2023,ANI,PG13,CRUNCHY,1588491,701958,1891488,1470,1470,1,81,59%,461,50%
Plane,General,1/13/2023,ACT,R,LGF,10265326,3519013,32111181,3023,3060,1,82,62%,801,49%
"Devil Conspiracy, The",General,1/13/2023,HOR,R,IND,439759,157546,765039,925,925,1,52,20%,106,14%
M3GAN,General,1/6/2023,HOR,PG13,UNI,30429860,11726555,95159005,3509,3628,1,77,58%,817,42%
"Man Called Otto, A",General,12/30/2022,COM,PG13,SNY,56257,22790,64267657,4,3957,1,90,76%,803,68%
Whitney Houston: I Wanna Dance with Somebody,General,12/23/2022,DRA,PG13,SNY,4700450,1979797,23708080,3625,3625,1,84,67%,507,56%
Babylon,General,12/23/2022,COM,R,PAR,3603368,1469479,15658225,3343,3351,1,73,48%,379,38%
Puss In Boots: The Last Wish,Family,12/21/2022,ANI,PG,UNI,12429515,3200250,186090535,4099,4121,1,86,65%,1214,58%
Avatar: The Way of Water,Hybrid,12/16/2022,ACT,PG13,20TH,134100226,53200270,684075767,4202,4340,1,89,78%,1212,68%
Violent Night,General,12/2/2022,ACT,R,UNI,13450240,4869770,50057405,3682,3723,1,81,63%,806,49%
Spoiler Alert,General,12/2/2022,DRA,PG13,FOC,82983,45841,1384003,6,783,1,87,62%,264,57%
Strange World,Hybrid,11/23/2022,ANI,PG,DIS,12151384,4192614,37968963,4174,4174,1,78,56%,910,44%
Devotion,General,11/23/2022,DRA,PG13,SNY,5902803,1825172,20511938,3405,3458,1,89,77%,604,67%
"Menu, The",General,11/18/2022,COM,R,SL,9004957,3595005,38501125,3211,3228,1,77,54%,811,41%
Bones and All,General,11/18/2022,DRA,R,UAR,121004,57887,7834907,5,2727,1,72,39%,461,34%
She Said,General,11/18/2022,DRA,R,UNI,2217010,836585,5825995,2022,2023,1,86,71%,435,56%
Black Panther: Wakanda Forever,Hybrid,11/11/2022,ACT,PG13,DIS,181339761,84285721,453829060,4396,4396,1,90,82%,1216,71%
One Piece Film Red,Hybrid,11/4/2022,ANI,PG13,CRUNCHY,9340245,4838903,13379295,2367,2367,1,87,72%,1207,65%
Prey for the Devil,General,10/28/2022,HOR,PG13,LGF,7185126,2831066,19802293,2980,2980,1,68,41%,733,25%
Armageddon Time,General,10/28/2022,DRA,R,FOC,70275,35010,1872625,6,1006,1,70,41%,206,28%
Call Jane,General,10/28/2022,DRA,R,RSA,244469,85157,512770,1068,1068,1,79,51%,121,44%
Black Adam,Hybrid,10/21/2022,ACT,PG13,WB,67004323,26688324,168185470,4402,4402,1,79,65%,1201,46%
Ticket To Paradise,General,10/21/2022,RCOM,PG13,UNI,16509095,6404995,68275985,3543,4066,1,82,64%,804,49%
"Banshees of Inisherin, The",General,10/21/2022,DRA,R,SL,184454,67647,10582266,4,1205,1,78,44%,406,41%
Halloween Ends,General,10/14/2022,HOR,R,UNI,40050355,20375495,64079860,3901,3901,1,69,48%,809,38%
Till,General,10/14/2022,DRA,PG13,UAR,242269,95583,9000202,16,2136,1,90,82%,390,70%
"Lyle, Lyle, Crocodile",Family,10/7/2022,FAM,PG,SNY,11401182,3630915,46888441,4350,4350,1,79,61%,1214,47%
Amsterdam,General,10/7/2022,DRA,R,20TH,6444896,2642736,14947969,3005,3005,1,74,46%,785,37%
TAR,General,10/7/2022,DRA,R,FOC,158620,65981,6773650,4,1090,1,73,40%,310,35%
Smile (2022),General,9/30/2022,HOR,R,PAR,22609925,8234402,105935048,3645,3659,1,72,51%,868,36%
Bros,General,9/30/2022,RCOM,R,UNI,4854125,1842830,11628165,3350,3356,1,86,72%,823,60%
"Good House, The",General,9/30/2022,DRA,R,RSA,801568,251568,2219760,1062,1062,1,73,50%,168,32%
