
"Source: Whip Media CVMi.  Movies only. Lionsgate, Universal Pictures, Warner Bros. Pictures, 20th Century Studios, Netflix, Columbia Pictures, Paramount Pictures, New Line Cinema, A24, MGM, Focus Features, Sony Pictures Classics, Screen Gems, Amazon MGM Studios, STX Entertainment, United Artists Pictures, Relativity Media, Searchlight Pictures, Neon, Metro-Goldwyn-Mayer, IFC Films, Annapurna Pictures, Roadside Attractions, IFC, Hulu, Warner Bros., HBO Films titles only. United States originated titles only. First released between 2023/01/01 and 2025/10/05 Yes sample."

Audience User Age Bucket,Audience User Gender,Content Details Title,Performance Viewer Count
30-34,male,No Hard Feelings,"10,603"
40-44,female,John Wick: Chapter 4,"10,577"
25-29,female,Murder Mystery 2,"10,566"
40-44,male,Wonka,"10,499"
35-39,male,Wonka,"10,417"
35-39,female,No Hard Feelings,"10,416"
35-39,female,Saltburn,"10,409"
40-44,male,A Man Called Otto,"10,396"
40-44,male,Madame Web,"10,396"
40-44,male,Twisters,"10,394"
18-24,female,Aquaman and The Lost Kingdom,"10,382"
35-39,female,Poor Things,"10,378"
25-29,male,Poor Things,"10,350"
45-49,female,Aquaman and The Lost Kingdom,"10,349"
50-54,female,Murder Mystery 2,"10,327"
18-24,male,KPop Demon Hunters,"10,327"
45-49,male,Gran Turismo,"10,298"
40-44,male,The Fall Guy,"10,259"
45-49,male,Twisters,"10,233"
50-54,male,Twisters,"10,221"
40-44,male,Bad Boys: Ride or Die,"10,209"
30-34,male,Furiosa: A Mad Max Saga,"10,195"
40-44,male,Gran Turismo,"10,195"
40-44,male,65,"10,147"
18-24,female,Madame Web,"10,140"
45-49,male,Bad Boys: Ride or Die,"10,126"
35-39,male,No Hard Feelings,"10,122"
30-34,female,Murder Mystery 2,"10,114"
40-44,female,Saltburn,"10,112"
40-44,female,Dungeons & Dragons: Honor Among Thieves,"10,100"
18-24,female,Sinners,"10,090"
40-44,female,Murder Mystery 2,"10,073"
45-49,male,Road House,"10,072"
35-39,female,Dungeons & Dragons: Honor Among Thieves,"10,041"
18-24,female,Dungeons & Dragons: Honor Among Thieves,"10,039"
35-39,female,Murder Mystery 2,"10,036"
50-54,female,Aquaman and The Lost Kingdom,"10,026"
18-24,male,Jurassic World: Rebirth,"10,000"
18-24,male,Conclave,"9,967"
40-44,female,Fast X,"9,940"
45-49,female,Dungeons & Dragons: Honor Among Thieves,"9,926"
45-49,male,Ghostbusters: Frozen Empire,"9,925"
40-44,male,Scream VI,"9,864"
