
"Source: Whip Media CVMi. Movies only. Neon, A24 titles only. United States originated titles only. Balanced sample."

Content Details Title,Audience User Gender,Audience User Age Bucket,Performance Viewer Count
Luce,female,45-49,739
Mid90s,male,35-39,738
After Yang,male,50-54,737
Good Time,female,30-34,736
Swiss Army Man,female,45-49,733
Highest 2 Lowest,male,35-39,731
The Farewell,female,50-54,730
Green Room,male,40-44,723
The Farewell,male,35-39,720
Eighth Grade,female,30-34,705
Queer,male,35-39,704
Laggies,female,35-39,702
Hot Summer Nights,female,45-49,699
The Spectacular Now,female,50-54,699
Barely Lethal,female,35-39,697
It Comes at Night,female,50-54,687
Green Room,male,30-34,686
Mid90s,male,40-44,686
Tusk,female,40-44,684
Causeway,female,40-44,683
Queer,male,45-49,681
Ingrid Goes West,male,18-24,678
The Bad Batch,male,35-39,677
The Farewell,female,45-49,676
Dream Scenario,female,25-29,675
Causeway,female,35-39,673
Causeway,female,50-54,672
Tusk,female,30-34,667
Warfare,female,40-44,664
Waves,male,25-29,663
The Farewell,male,40-44,662
Waves,female,30-34,658
It Comes at Night,female,18-24,656
C'mon C'mon,female,40-44,650
Warfare,female,45-49,650
Beach Rats,female,18-24,649
It Comes at Night,female,25-29,648
C'mon C'mon,male,45-49,646
Green Room,male,50-54,638
Queer,female,25-29,638
Y2K,male,18-24,638
Under the Silver Lake,female,50-54,636
Waves,female,35-39,632
Hot Summer Nights,female,30-34,627
The Bad Batch,female,45-49,623
Barely Lethal,male,18-24,621
Mid90s,female,40-44,621
Mid90s,female,45-49,620
Mid90s,female,50-54,618
Good Time,female,40-44,616
Beach Rats,male,30-34,616
Warfare,female,50-54,614
Eighth Grade,male,25-29,611
Ingrid Goes West,female,40-44,610
Queer,male,50-54,607
Good Time,female,45-49,607
The Bad Batch,female,50-54,605
Luce,female,40-44,605
Stephen Curry: Underrated,male,18-24,604
Causeway,male,30-34,600
Tusk,female,50-54,599
After Yang,male,45-49,593
Queer,male,40-44,593
Eighth Grade,female,35-39,592
Dark Places,female,35-39,591
Under the Silver Lake,female,25-29,589
C'mon C'mon,male,35-39,582
C'mon C'mon,male,25-29,582
Highest 2 Lowest,female,50-54,582
Under the Silver Lake,female,30-34,580
The Bad Batch,female,40-44,578
Barely Lethal,female,45-49,575
Dark Places,male,50-54,575
The Farewell,male,45-49,572
Laggies,female,45-49,571
Hot Summer Nights,female,50-54,568
Hot Summer Nights,female,40-44,566
C'mon C'mon,male,30-34,563
Warfare,female,35-39,563
Hot Summer Nights,female,35-39,555
Barely Lethal,female,40-44,555
Mid90s,female,30-34,555
Good Time,female,35-39,553
Causeway,female,30-34,552
C'mon C'mon,female,35-39,552
Warfare,female,30-34,551
Eighth Grade,female,45-49,550
Mid90s,female,35-39,549
Barely Lethal,male,50-54,548
Laggies,female,40-44,547
Hot Summer Nights,male,25-29,547
Barely Lethal,female,50-54,544
C'mon C'mon,female,18-24,543
C'mon C'mon,male,40-44,543
Under the Silver Lake,female,35-39,542
Stephen Curry: Underrated,male,40-44,533
Causeway,male,25-29,529
Ingrid Goes West,female,45-49,529
C'mon C'mon,female,50-54,528
Warfare,female,25-29,526
Waves,male,45-49,519
Swiss Army Man,female,50-54,510
C'mon C'mon,male,50-54,510
The Bad Batch,male,30-34,510
Eighth Grade,female,40-44,509
Queer,female,45-49,508
After Yang,male,40-44,507
Luce,female,50-54,504
Ingrid Goes West,male,25-29,499
Stephen Curry: Underrated,male,45-49,497
Under the Silver Lake,female,45-49,493
Highest 2 Lowest,male,30-34,491
C'mon C'mon,female,30-34,490
Queer,female,35-39,489
Luce,male,50-54,488
The Spectacular Now,male,35-39,488
After Yang,male,18-24,486
Under the Silver Lake,female,40-44,484
After Yang,male,35-39,482
Eighth Grade,female,50-54,481
C'mon C'mon,female,45-49,480
Y2K,male,40-44,480
After Yang,female,50-54,479
Good Time,female,50-54,475
